bioguideId,district,partyName,state,chamber,startYear,endYear,name
W000825,10.0,Democratic,Virginia,House of Representatives,2019,0,"Wexton, Jennifer"
S001209,7.0,Democratic,Virginia,House of Representatives,2019,0,"Spanberger, Abigail Davis"
C001118,6.0,Republican,Virginia,House of Representatives,2019,0,"Cline, Ben"
J000298,7.0,Democratic,Washington,House of Representatives,2017,0,"Jayapal, Pramila"
M001195,2.0,Republican,West Virginia,House of Representatives,2015,0,"Mooney, Alexander X."
G000576,6.0,Republican,Wisconsin,House of Representatives,2015,0,"Grothman, Glenn"
N000189,4.0,Republican,Washington,House of Representatives,2015,0,"Newhouse, Dan"
P000610,,Democratic,Virgin Islands,House of Representatives,2015,0,"Plaskett, Stacey E."
B001292,8.0,Democratic,Virginia,House of Representatives,2015,0,"Beyer, Donald S."
P000607,2.0,Democratic,Wisconsin,House of Representatives,2013,0,"Pocan, Mark"
K000381,6.0,Democratic,Washington,House of Representatives,2013,0,"Kilmer, Derek"
D000617,1.0,Democratic,Washington,House of Representatives,2012,0,"DelBene, Suzan K."
G000568,9.0,Republican,Virginia,House of Representatives,2011,0,"Griffith, H. Morgan"
C001078,11.0,Democratic,Virginia,House of Representatives,2009,0,"Connolly, Gerald E."
S000510,9.0,Democratic,Washington,House of Representatives,1997,0,"Smith, Adam"
M001160,4.0,Democratic,Wisconsin,House of Representatives,2005,0,"Moore, Gwen"
M001159,5.0,Republican,Washington,House of Representatives,2005,0,"McMorris Rodgers, Cathy"
L000560,2.0,Democratic,Washington,House of Representatives,2001,0,"Larsen, Rick"
M001228,2.0,Republican,Utah,House of Representatives,2023,0,"Maloy, Celeste"
M001227,4.0,Democratic,Virginia,House of Representatives,2023,0,"McClellan, Jennifer L."
S001224,3.0,Republican,Texas,House of Representatives,2023,0,"Self, Keith"
O000175,5.0,Republican,Tennessee,House of Representatives,2023,0,"Ogles, Andrew"
M001224,1.0,Republican,Texas,House of Representatives,2023,0,"Moran, Nathaniel"
L000603,8.0,Republican,Texas,House of Representatives,2023,0,"Luttrell, Morgan"
K000399,2.0,Republican,Virginia,House of Representatives,2023,0,"Kiggans, Jennifer A."
H001095,38.0,Republican,Texas,House of Representatives,2023,0,"Hunt, Wesley"
F000478,7.0,Republican,South Carolina,House of Representatives,2023,0,"Fry, Russell"
D000594,15.0,Republican,Texas,House of Representatives,2023,0,"De La Cruz, Monica"
C001130,30.0,Democratic,Texas,House of Representatives,2023,0,"Crockett, Jasmine"
C001131,35.0,Democratic,Texas,House of Representatives,2023,0,"Casar, Greg"
E000071,6.0,Republican,Texas,House of Representatives,2021,0,"Ellzey, Jake"
V000134,24.0,Republican,Texas,House of Representatives,2021,0,"Van Duyne, Beth"
P000048,11.0,Republican,Texas,House of Representatives,2021,0,"Pfluger, August"
O000086,4.0,Republican,Utah,House of Representatives,2021,0,"Owens, Burgess"
N000026,22.0,Republican,Texas,House of Representatives,2021,0,"Nehls, Troy E."
M001213,1.0,Republican,Utah,House of Representatives,2021,0,"Moore, Blake D."
M000194,1.0,Republican,South Carolina,House of Representatives,2021,0,"Mace, Nancy"
J000304,13.0,Republican,Texas,House of Representatives,2021,0,"Jackson, Ronny"
H001086,1.0,Republican,Tennessee,House of Representatives,2021,0,"Harshbarger, Diana"
G000594,23.0,Republican,Texas,House of Representatives,2021,0,"Gonzales, Tony"
F000246,4.0,Republican,Texas,House of Representatives,2021,0,"Fallon, Pat"
A000376,32.0,Democratic,Texas,House of Representatives,2019,0,"Allred, Colin Z."
G000587,29.0,Democratic,Texas,House of Representatives,2019,0,"Garcia, Sylvia R."
R000614,21.0,Republican,Texas,House of Representatives,2019,0,"Roy, Chip"
E000299,16.0,Democratic,Texas,House of Representatives,2019,0,"Escobar, Veronica"
F000468,7.0,Democratic,Texas,House of Representatives,2019,0,"Fletcher, Lizzie"
G000589,5.0,Republican,Texas,House of Representatives,2019,0,"Gooden, Lance"
C001120,2.0,Republican,Texas,House of Representatives,2019,0,"Crenshaw, Dan"
G000590,7.0,Republican,Tennessee,House of Representatives,2019,0,"Green, Mark E."
R000612,6.0,Republican,Tennessee,House of Representatives,2019,0,"Rose, John W."
B001309,2.0,Republican,Tennessee,House of Representatives,2019,0,"Burchett, Tim"
J000301,,Republican,South Dakota,House of Representatives,2019,0,"Johnson, Dusty"
T000480,4.0,Republican,South Carolina,House of Representatives,2019,0,"Timmons, William R."
C001115,27.0,Republican,Texas,House of Representatives,2018,0,"Cloud, Michael"
C001114,3.0,Republican,Utah,House of Representatives,2017,0,"Curtis, John R."
N000190,5.0,Republican,South Carolina,House of Representatives,2017,0,"Norman, Ralph"
A000375,19.0,Republican,Texas,House of Representatives,2017,0,"Arrington, Jodey C."
G000581,34.0,Democratic,Texas,House of Representatives,2017,0,"Gonzalez, Vicente"
K000392,8.0,Republican,Tennessee,House of Representatives,2017,0,"Kustoff, David"
B001291,36.0,Republican,Texas,House of Representatives,2015,0,"Babin, Brian"
V000131,33.0,Democratic,Texas,House of Representatives,2013,0,"Veasey, Marc A."
W000816,25.0,Republican,Texas,House of Representatives,2013,0,"Williams, Roger"
C001091,20.0,Democratic,Texas,House of Representatives,2013,0,"Castro, Joaquin"
W000814,14.0,Republican,Texas,House of Representatives,2013,0,"Weber, Randy K."
W000804,1.0,Republican,Virginia,House of Representatives,2007,0,"Wittman, Robert J."
D000616,4.0,Republican,Tennessee,House of Representatives,2011,0,"DesJarlais, Scott"
F000459,3.0,Republican,Tennessee,House of Representatives,2011,0,"Fleischmann, Charles J. ""Chuck"""
D000615,3.0,Republican,South Carolina,House of Representatives,2011,0,"Duncan, Jeff"
C001068,9.0,Democratic,Tennessee,House of Representatives,2007,0,"Cohen, Steve"
S000250,17.0,Republican,Texas,House of Representatives,2021,0,"Sessions, Pete"
G000377,12.0,Republican,Texas,House of Representatives,1997,0,"Granger, Kay"
S000185,3.0,Democratic,Virginia,House of Representatives,1993,0,"Scott, Robert C. ""Bobby"""
C001063,28.0,Democratic,Texas,House of Representatives,2005,0,"Cuellar, Henry"
M001157,10.0,Republican,Texas,House of Representatives,2005,0,"McCaul, Michael T."
G000553,9.0,Democratic,Texas,House of Representatives,2005,0,"Green, Al"
C001051,31.0,Republican,Texas,House of Representatives,2003,0,"Carter, John R."
B001248,26.0,Republican,Texas,House of Representatives,2003,0,"Burgess, Michael C."
W000795,2.0,Republican,South Carolina,House of Representatives,2001,0,"Wilson, Joe"
D000399,37.0,Democratic,Texas,House of Representatives,1995,0,"Doggett, Lloyd"
J000032,18.0,Democratic,Texas,House of Representatives,1995,0,"Jackson Lee, Sheila"
K000402,26.0,Democratic,New York,House of Representatives,2024,0,"Kennedy, Timothy M."
A000380,1.0,Democratic,Rhode Island,House of Representatives,2023,0,"Amo, Gabe"
W000828,22.0,Republican,New York,House of Representatives,2023,0,"Williams, Brandon"
S001223,13.0,Democratic,Ohio,House of Representatives,2023,0,"Sykes, Emilia Strong"
S001226,6.0,Democratic,Oregon,House of Representatives,2023,0,"Salinas, Andrea"
M001221,19.0,Republican,New York,House of Representatives,2023,0,"Molinaro, Marcus J."
M001222,7.0,Republican,Ohio,House of Representatives,2023,0,"Miller, Max L."
M001223,2.0,Democratic,Rhode Island,House of Representatives,2023,0,"Magaziner, Seth"
L000602,12.0,Democratic,Pennsylvania,House of Representatives,2023,0,"Lee, Summer L."
L000599,17.0,Republican,New York,House of Representatives,2023,0,"Lawler, Michael"
L000600,23.0,Republican,New York,House of Representatives,2023,0,"Langworthy, Nicholas A."
L000601,1.0,Democratic,Ohio,House of Representatives,2023,0,"Landsman, Greg"
H001094,4.0,Democratic,Oregon,House of Representatives,2023,0,"Hoyle, Val T."
D000530,17.0,Democratic,Pennsylvania,House of Representatives,2023,0,"Deluzio, Christopher R."
C001135,5.0,Republican,Oregon,House of Representatives,2023,0,"Chavez-DeRemer, Lori"
B001317,2.0,Republican,Oklahoma,House of Representatives,2023,0,"Brecheen, Josh"
R000579,18.0,Democratic,New York,House of Representatives,2022,0,"Ryan, Patrick"
C001126,15.0,Republican,Ohio,House of Representatives,2021,0,"Carey, Mike"
B001313,11.0,Democratic,Ohio,House of Representatives,2021,0,"Brown, Shontel M."
B001223,16.0,Democratic,New York,House of Representatives,2021,0,"Bowman, Jamaal"
B000740,5.0,Republican,Oklahoma,House of Representatives,2021,0,"Bice, Stephanie I."
B000668,2.0,Republican,Oregon,House of Representatives,2021,0,"Bentz, Cliff"
R000610,14.0,Republican,Pennsylvania,House of Representatives,2019,0,"Reschenthaler, Guy"
J000302,13.0,Republican,Pennsylvania,House of Representatives,2019,0,"Joyce, John"
M001204,9.0,Republican,Pennsylvania,House of Representatives,2019,0,"Meuser, Daniel"
H001085,6.0,Democratic,Pennsylvania,House of Representatives,2019,0,"Houlahan, Chrissy"
D000631,4.0,Democratic,Pennsylvania,House of Representatives,2019,0,"Dean, Madeleine"
W000826,7.0,Democratic,Pennsylvania,House of Representatives,2018,0,"Wild, Susan"
H001082,1.0,Republican,Oklahoma,House of Representatives,2018,0,"Hern, Kevin"
M001206,25.0,Democratic,New York,House of Representatives,2018,0,"Morelle, Joseph D."
S001205,5.0,Democratic,Pennsylvania,House of Representatives,2018,0,"Scanlon, Mary Gay"
B001306,12.0,Republican,Ohio,House of Representatives,2018,0,"Balderson, Troy"
G000582,,Republican,Puerto Rico,House of Representatives,2017,0,"González-Colón, Jenniffer"
S001199,11.0,Republican,Pennsylvania,House of Representatives,2017,0,"Smucker, Lloyd"
F000466,1.0,Republican,Pennsylvania,House of Representatives,2017,0,"Fitzpatrick, Brian K."
T000478,24.0,Republican,New York,House of Representatives,2021,0,"Tenney, Claudia"
E000296,3.0,Democratic,Pennsylvania,House of Representatives,2016,0,"Evans, Dwight"
D000626,8.0,Republican,Ohio,House of Representatives,2016,0,"Davidson, Warren"
B001296,2.0,Democratic,Pennsylvania,House of Representatives,2015,0,"Boyle, Brendan F."
S001196,21.0,Republican,New York,House of Representatives,2015,0,"Stefanik, Elise M."
C001090,8.0,Democratic,Pennsylvania,House of Representatives,2013,0,"Cartwright, Matt"
P000605,10.0,Republican,Pennsylvania,House of Representatives,2013,0,"Perry, Scott"
J000295,14.0,Republican,Ohio,House of Representatives,2013,0,"Joyce, David P."
B001281,3.0,Democratic,Ohio,House of Representatives,2013,0,"Beatty, Joyce"
W000815,2.0,Republican,Ohio,House of Representatives,2013,0,"Wenstrup, Brad R."
B001278,1.0,Democratic,Oregon,House of Representatives,2012,0,"Bonamici, Suzanne"
L000566,5.0,Republican,Ohio,House of Representatives,2007,0,"Latta, Robert E."
K000376,16.0,Republican,Pennsylvania,House of Representatives,2011,0,"Kelly, Mike"
J000289,4.0,Republican,Ohio,House of Representatives,2007,0,"Jordan, Jim"
T000467,15.0,Republican,Pennsylvania,House of Representatives,2009,0,"Thompson, Glenn"
T000469,20.0,Democratic,New York,House of Representatives,2009,0,"Tonko, Paul"
B000574,3.0,Democratic,Oregon,House of Representatives,1995,0,"Blumenauer, Earl"
L000491,3.0,Republican,Oklahoma,House of Representatives,1993,0,"Lucas, Frank D."
C001053,4.0,Republican,Oklahoma,House of Representatives,2003,0,"Cole, Tom"
T000463,10.0,Republican,Ohio,House of Representatives,2003,0,"Turner, Michael R."
K000009,9.0,Democratic,Ohio,House of Representatives,1983,0,"Kaptur, Marcy"
V000136,2.0,Democratic,New Mexico,House of Representatives,2023,0,"Vasquez, Gabe"
N000194,13.0,Democratic,North Carolina,House of Representatives,2023,0,"Nickel, Wiley"
M001226,8.0,Democratic,New Jersey,House of Representatives,2023,0,"Menendez, Robert"
L000598,1.0,Republican,New York,House of Representatives,2023,0,"LaLota, Nick"
K000398,7.0,Republican,New Jersey,House of Representatives,2023,0,"Kean, Thomas H."
J000308,14.0,Democratic,North Carolina,House of Representatives,2023,0,"Jackson, Jeff"
G000599,10.0,Democratic,New York,House of Representatives,2023,0,"Goldman, Daniel S."
E000246,11.0,Republican,North Carolina,House of Representatives,2023,0,"Edwards, Chuck"
D000632,4.0,Republican,New York,House of Representatives,2023,0,"D'Esposito, Anthony"
F000474,1.0,Republican,Nebraska,House of Representatives,2022,0,"Flood, Mike"
S001218,1.0,Democratic,New Mexico,House of Representatives,2021,0,"Stansbury, Melanie A."
T000486,15.0,Democratic,New York,House of Representatives,2021,0,"Torres, Ritchie"
M001135,6.0,Democratic,North Carolina,House of Representatives,2021,0,"Manning, Kathy E."
M000317,11.0,Republican,New York,House of Representatives,2021,0,"Malliotakis, Nicole"
L000273,3.0,Democratic,New Mexico,House of Representatives,2021,0,"Leger Fernandez, Teresa"
G000597,2.0,Republican,New York,House of Representatives,2021,0,"Garbarino, Andrew R."
B001311,8.0,Republican,North Carolina,House of Representatives,2019,0,"Bishop, Dan"
O000172,14.0,Democratic,New York,House of Representatives,2019,0,"Ocasio-Cortez, Alexandria"
L000590,3.0,Democratic,Nevada,House of Representatives,2019,0,"Lee, Susie"
S001207,11.0,Democratic,New Jersey,House of Representatives,2019,0,"Sherrill, Mikie"
K000394,3.0,Democratic,New Jersey,House of Representatives,2019,0,"Kim, Andy"
V000133,2.0,Republican,New Jersey,House of Representatives,2019,0,"Van Drew, Jefferson"
P000614,1.0,Democratic,New Hampshire,House of Representatives,2019,0,"Pappas, Chris"
A000377,,Republican,North Dakota,House of Representatives,2019,0,"Armstrong, Kelly"
E000297,13.0,Democratic,New York,House of Representatives,2017,0,"Espaillat, Adriano"
S001201,3.0,Democratic,New York,House of Representatives,2017,0,"Suozzi, Thomas R."
G000583,5.0,Democratic,New Jersey,House of Representatives,2017,0,"Gottheimer, Josh"
B001298,2.0,Republican,Nebraska,House of Representatives,2017,0,"Bacon, Don"
W000822,12.0,Democratic,New Jersey,House of Representatives,2015,0,"Watson Coleman, Bonnie"
R000603,7.0,Republican,North Carolina,House of Representatives,2015,0,"Rouzer, David"
N000188,1.0,Democratic,New Jersey,House of Representatives,2014,0,"Norcross, Donald"
A000370,12.0,Democratic,North Carolina,House of Representatives,2014,0,"Adams, Alma S."
J000294,8.0,Democratic,New York,House of Representatives,2013,0,"Jeffries, Hakeem S."
H001066,4.0,Democratic,Nevada,House of Representatives,2019,0,"Horsford, Steven"
K000382,2.0,Democratic,New Hampshire,House of Representatives,2013,0,"Kuster, Ann M."
H001067,9.0,Republican,North Carolina,House of Representatives,2013,0,"Hudson, Richard"
