bioguideid,congress,introducedDate,actionDate,text,number,policyArea,title,type,url
I000024,117,2021-11-17,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/4774?format=json
I000024,117,2021-11-16,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/4715?format=json
I000024,117,2021-11-16,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/4720?format=json
I000024,117,2021-11-04,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/4451?format=json
I000024,117,2021-11-04,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/4432?format=json
I000024,117,2021-11-04,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/4429?format=json
I000024,117,2021-11-04,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/4428?format=json
I000024,117,2021-11-04,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/4431?format=json
I000024,117,2021-11-04,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/4430?format=json
I000024,117,2021-11-03,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/4257?format=json
I000024,117,2021-11-03,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/4258?format=json
I000024,117,2021-10-28,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/3944?format=json
I000024,117,2021-08-10,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/3677?format=json
I000024,117,2021-08-10,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/3676?format=json
I000024,117,2021-08-10,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/3678?format=json
I000024,117,2021-08-10,2021-08-11,Amendment SA 3331 not agreed to in Senate by Yea-Nay Vote. 49 - 50. Record Vote Number: 350. ,,{},,,https://api.congress.gov/v3/amendment/117/samdt/3331?format=json
I000024,117,2021-08-07,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/2646?format=json
I000024,117,2021-08-07,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/2642?format=json
I000024,117,2021-08-07,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/2643?format=json
I000024,117,2021-08-05,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/2618?format=json
I000024,117,2021-08-04,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/2492?format=json
I000024,117,2021-08-03,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/2471?format=json
I000024,117,2021-08-03,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/2472?format=json
I000024,117,2021-08-03,,,,{},,,https://api.congress.gov/v3/amendment/117/samdt/2474?format=json
