bioguideId	congress	type	number	introducedDate	actionDate	PolicyArea_name	Latest_Action_text	url	congress_type_number	title		
m000811	100	S	675	1987-03-06	1988-07-28	Environmental Protection	Indefinitely postponed by Senate by Unanimous Consent.	https://api.congress.gov/v3/bill/100/s/675?format=json	100_S_675	A bill to authorize appropriations to carry out the Endangered Species Act of 1973 during fiscal years 1988, 1989, 1990, 1991, and 1992.		
m000811	100	SRES	267	1987-08-03	1987-10-30	Environmental Protection	Resolution agreed to in Senate without amendment and with a preamble by Voice Vote.	https://api.congress.gov/v3/bill/100/sres/267?format=json	100_SRES_267	A resolution to express the sense of the Senate that Rachel Carson is recognized on the twenty-fifth anniversary of her book "Silent Spring", for her outstanding contributions to public awareness and understanding of environmental issues.		
m000811	101	S	1178	1989-06-14	1990-06-27	Environmental Protection	Placed on Senate Legislative Calendar under General Orders. Calendar No. 647.	https://api.congress.gov/v3/bill/101/s/1178?format=json	101_S_1178	Coastal Protection Act of 1990		
m000811	101	S	1140	1989-06-07	1990-10-24	Environmental Protection	Placed on Senate Legislative Calendar under General Orders. Calendar No. 1020.	https://api.congress.gov/v3/bill/101/s/1140?format=json	101_S_1140	Federal Facility Compliance Act of 1990		
m000811	101	S	804	1989-04-17	1989-12-13	Environmental Protection	Became Public Law No: 101-233.	https://api.congress.gov/v3/bill/101/s/804?format=json	101_S_804	North American Wetlands Conservation Act		
j000288	114	HR	4827	2016-03-22	2016-03-25	Environmental Protection	Referred to the Subcommittee on Environment and the Economy.	https://api.congress.gov/v3/bill/114/hr/4827?format=json	114_HR_4827	Coal Ash Landfill Safety Act		
k000389	116	HR	3844	2019-07-18	2019-07-19	Environmental Protection	Referred to the Subcommittee on Water Resources and Environment.	https://api.congress.gov/v3/bill/116/hr/3844?format=json	116_HR_3844	Farmer Fairness Act		
k000389	116	HR	2591	2019-05-08	2019-09-26	Environmental Protection	Forwarded by Subcommittee to Full Committee by Voice Vote .	https://api.congress.gov/v3/bill/116/hr/2591?format=json	116_HR_2591	PFAS Waste Incineration Ban Act of 2019		
g000504	93	HR	16873	1974-09-25	1974-09-25	Environmental Protection	Referred to House Committee on Public Works.	https://api.congress.gov/v3/bill/93/hr/16873?format=json	93_HR_16873	A bill to amend section 206(e) of the Federal Water Pollution Control Act to increase the authorization for reimbursement.		
t000162	108	S	372	2003-02-12	2003-02-12	Environmental Protection	Read twice and referred to the Committee on Environment and Public Works. (text of measure as introduced: CR S2358)	https://api.congress.gov/v3/bill/108/s/372?format=json	108_S_372	State and Local Government Participation Act of 2003		
