bioguideid,congress,introducedDate,actionDate,text,number,policyArea,title,type,url
I000024,117,2021-08-07,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2642?format=json
I000024,117,2021-08-07,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2643?format=json
I000024,117,2021-08-05,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2618?format=json
I000024,117,2021-08-04,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2492?format=json
I000024,117,2021-08-03,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2471?format=json
I000024,117,2021-08-03,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2472?format=json
I000024,117,2021-08-03,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2474?format=json
I000024,117,2021-08-03,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2473?format=json
I000024,117,2021-08-04,blah,blha,,blah,,,https://api.congress.gov/v3/amendment/117/samdt/2480?format=json
I000024,117,2021-09-14,blah,blha,2737,blah,Constitution education Is Valuable In Community Schools Act of 2021,S,https://api.congress.gov/v3/bill/117/s/2737?format=json
I000024,117,2021-07-22,blah,blha,2453,blah,PLANE Act of 2021,S,https://api.congress.gov/v3/bill/117/s/2453?format=json
I000024,117,2021-07-22,blah,blha,2459,blah,HANGARS Act,S,https://api.congress.gov/v3/bill/117/s/2459?format=json
I000024,117,2021-08-09,blah,blha,344,blah,A resolution expressing support for the State of Israel joining the African Union under observer status.,SRES,https://api.congress.gov/v3/bill/117/sres/344?format=json
I000024,116,2020-07-02,blah,blha,4156,blah,RELIEF for Producers Act of 2020,S,https://api.congress.gov/v3/bill/116/s/4156?format=json
I000024,116,2019-10-29,blah,blha,2731,blah,Essential National Security Authorities Act for Fiscal Year 2020,S,https://api.congress.gov/v3/bill/116/s/2731?format=json
I000024,116,2019-11-12,blah,blha,2840,blah,Essential National Security Authorities Act for Fiscal Year 2020,S,https://api.congress.gov/v3/bill/116/s/2840?format=json
I000024,117,2021-01-28,blah,blha,75,blah,Protecting Individuals with Down Syndrome Act,S,https://api.congress.gov/v3/bill/117/s/75?format=json
I000024,117,2021-06-24,blah,blha,291,blah,A resolution congratulating the University of Oklahoma Sooners softball team on winning the 2021 National Collegiate Athletic Association Women's College World Series.,SRES,https://api.congress.gov/v3/bill/117/sres/291?format=json
I000024,117,2021-04-29,blah,blha,195,blah,A resolution recognizing the 50th anniversary of the McClellan-Kerr Arkansas River Navigation System.,SRES,https://api.congress.gov/v3/bill/117/sres/195?format=json
I000024,117,2021-03-24,blah,blha,132,blah,A resolution expressing the sense of the Senate that the current influx of migrants is causing a crisis at the Southern border.,SRES,https://api.congress.gov/v3/bill/117/sres/132?format=json
I000024,116,2019-07-25,blah,blha,2292,blah,Asylum Abuse Reduction Act,S,https://api.congress.gov/v3/bill/116/s/2292?format=json
I000024,117,2021-03-18,blah,blha,863,blah,Asylum Abuse Reduction Act,S,https://api.congress.gov/v3/bill/117/s/863?format=json
I000024,117,2021-01-25,blah,blha,39,blah,Protecting American Innovation and Development Act of 2021,S,https://api.congress.gov/v3/bill/117/s/39?format=json
