310,J000288,115,2017-03-09,2017-03-22,Referred to the Subcommittee on Counterterrorism and Intelligence.,1453,Emergency Management,Reaffirming DHS Commitment to Countering All Forms of Extremism,HR,https://api.congress.gov/v3/bill/115/hr/1453?format=json
329,J000288,114,2016-03-22,2016-03-25,Referred to the Subcommittee on Environment and the Economy.,4827,Environmental Protection,Coal Ash Landfill Safety Act,HR,https://api.congress.gov/v3/bill/114/hr/4827?format=json
331,J000288,114,2016-02-10,2016-02-12,"Referred to the Subcommittee on Commerce, Manufacturing, and Trade.",4517,"Science, Technology, Communications",APPS Act of 2016,HR,https://api.congress.gov/v3/bill/114/hr/4517?format=json
346,J000288,114,2015-06-15,2015-07-01,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.",2767,Transportation and Public Works,Airport Security Act of 2015,HR,https://api.congress.gov/v3/bill/114/hr/2767?format=json
352,J000288,114,2015-09-17,2015-09-18,"Referred to the Subcommittee on Commerce, Manufacturing, and Trade.",3536,Transportation and Public Works,Safe Roads Act of 2015,HR,https://api.congress.gov/v3/bill/114/hr/3536?format=json
360,J000288,111,2010-05-18,2010-07-26,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",5321,Transportation and Public Works,Airport Security Act of 2010,HR,https://api.congress.gov/v3/bill/111/hr/5321?format=json
377,J000288,111,2010-09-22,2010-12-07,Motion to reconsider laid on the table Agreed to without objection.,1642,Housing and Community Development,"Recognizing the centennial of the City of Lilburn, Georgia and supporting the goals and ideals of a City of Lilburn Day.",HRES,https://api.congress.gov/v3/bill/111/hres/1642?format=json
397,B001284,116,2020-06-25,2020-06-25,Referred to the House Committee on Natural Resources.,7334,Public Lands and Natural Resources,Broadband Deployment Streamlining Act,HR,https://api.congress.gov/v3/bill/116/hr/7334?format=json
405,B001284,113,2014-03-14,2014-07-09,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,4263,Emergency Management,Social Media Working Group Act of 2014,HR,https://api.congress.gov/v3/bill/113/hr/4263?format=json
416,B001284,115,2018-05-08,2018-05-11,Referred to the Subcommittee on Communications and Technology.,5700,"Science, Technology, Communications",National Non-Emergency Mobile Number Act,HR,https://api.congress.gov/v3/bill/115/hr/5700?format=json
419,B001284,115,2018-01-19,2018-02-08,Referred to the Subcommittee on Conservation and Forestry.,4847,Public Lands and Natural Resources,Broadband Deployment Streamlining Act,HR,https://api.congress.gov/v3/bill/115/hr/4847?format=json
421,B001284,115,2017-09-14,2017-09-15,Referred to the Subcommittee on Communications and Technology.,521,"Science, Technology, Communications",Expressing the sense of the House of Representatives about a strategy to deploy fifth generation mobile networks (5G networks) and next-generation wireless and wired technologies to promote econom...,HRES,https://api.congress.gov/v3/bill/115/hres/521?format=json
426,B001284,115,2017-03-27,2018-12-21,Became Public Law No: 115-345.,1733,Energy,An act to direct the Secretary of Energy to review and update a report on the energy and environmental benefits of the re-refining of used lubricating oil,HR,https://api.congress.gov/v3/bill/115/hr/1733?format=json
433,B001284,114,2016-04-15,2016-04-22,Referred to the Subcommittee on Energy and Power.,4958,Energy,To direct the Secretary of Energy to review and update a report on the energy and environmental benefits of the re-refining of used lubricating oil.,HR,https://api.congress.gov/v3/bill/114/hr/4958?format=json
443,B001284,114,2015-01-30,2015-11-05,Became Public Law No: 114-80.,623,Emergency Management,DHS Social Media Improvement Act of 2015,HR,https://api.congress.gov/v3/bill/114/hr/623?format=json
449,K000389,118,2024-05-23,2024-05-23,Referred to the House Committee on Agriculture.,8538,"Science, Technology, Communications",Biotechnology Oversight Coordination Act of 2024,HR,https://api.congress.gov/v3/bill/118/hr/8538?format=json
462,K000389,118,2023-07-25,2023-07-25,Referred to the House Committee on Agriculture.,4873,Agriculture and Food,Food Supply Chain Capacity and Resiliency Act,HR,https://api.congress.gov/v3/bill/118/hr/4873?format=json
471,K000389,118,2023-02-02,2023-03-06,"Referred to the Subcommittee on Livestock, Dairy, and Poultry.",797,Agriculture and Food,Farm System Reform Act of 2023,HR,https://api.congress.gov/v3/bill/118/hr/797?format=json
490,K000389,117,2022-07-19,2022-07-19,Referred to the House Committee on Agriculture.,1234,Agriculture and Food,"Expressing support for regenerative agriculture and other conservation practices to support more sustainable and resilient agriculture, and compensating farmers for providing environmental services.",HRES,https://api.congress.gov/v3/bill/117/hres/1234?format=json
494,K000389,117,2022-05-13,2022-06-08,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research.",7763,Agriculture and Food,"To direct the Secretary of Agriculture to support and incentivize domestic activities to address fertilizer shortages and deficiencies, diversify fertilizer sources, and reduce dependency on forei...",HR,https://api.congress.gov/v3/bill/117/hr/7763?format=json
508,K000389,117,2021-07-16,2021-07-19,Referred to the Subcommittee on Environment and Climate Change.,4461,"Science, Technology, Communications",21st Century Jobs Act,HR,https://api.congress.gov/v3/bill/117/hr/4461?format=json
509,K000389,117,2021-07-13,2021-08-11,Referred to the Subcommittee on Livestock and Foreign Agriculture.,4421,Agriculture and Food,Farm System Reform Act of 2021,HR,https://api.congress.gov/v3/bill/117/hr/4421?format=json
514,K000389,117,2021-05-28,2022-04-06,Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 343.,3599,"Science, Technology, Communications",Federal Rotational Cyber Workforce Program Act of 2021,HR,https://api.congress.gov/v3/bill/117/hr/3599?format=json
515,K000389,117,2021-04-21,2021-04-22,Referred to the Subcommittee on Consumer Protection and Commerce.,2731,"Science, Technology, Communications",Endless Frontier Act,HR,https://api.congress.gov/v3/bill/117/hr/2731?format=json
522,K000389,116,2020-10-27,2020-10-28,Referred to the Subcommittee on Aviation.,8693,"Science, Technology, Communications",21st Century Jobs Act,HR,https://api.congress.gov/v3/bill/116/hr/8693?format=json
528,K000389,116,2020-05-22,2020-05-22,"Referred to the House Committee on Science, Space, and Technology.",6978,"Science, Technology, Communications",Endless Frontier Act,HR,https://api.congress.gov/v3/bill/116/hr/6978?format=json
530,K000389,116,2020-05-05,2020-08-13,Referred to the Subcommittee on Livestock and Foreign Agriculture.,6718,Agriculture and Food,Farm System Reform Act of 2020,HR,https://api.congress.gov/v3/bill/116/hr/6718?format=json
548,K000389,116,2019-07-18,2019-07-19,Referred to the Subcommittee on Water Resources and Environment.,3844,Environmental Protection,Farmer Fairness Act,HR,https://api.congress.gov/v3/bill/116/hr/3844?format=json
