bioguideid,congress,introduceddate,actiondate,text,number,policyArea name,title,type,url
s000094,107,2001-06-12,2001-06-18,"Referred to the Subcommittee on Commerce, Trade and Consumer Protection.",2135,,Consumer Privacy Protection Act,HR,https://api.congress.gov/v3/bill/107/hr/2135?format=json
s000094,107,2001-06-12,2001-07-09,"Referred to the Subcommittee on Government Efficiency, Financial Management and Intergovernmental Relations.",2136,,Confidential Information Protection Act,HR,https://api.congress.gov/v3/bill/107/hr/2136?format=json
s000094,107,2001-05-14,2001-06-11,Referred to the Subcommittee on International Operations and Human Rights.,1828,,Unilateral Sanction Reporting Act,HR,https://api.congress.gov/v3/bill/107/hr/1828?format=json
s000094,107,2001-03-20,2001-04-02,Referred to the Subcommittee on Environment and Hazardous Materials.,70,,"Expressing the sense of the Congress that the United States should develop, promote, and implement policies to slow global population growth by voluntary means.",HCONRES,https://api.congress.gov/v3/bill/107/hconres/70?format=json
s000094,106,2000-03-29,2000-03-29,On agreeing to the Sawyer amendment (A006) Agreed to by voice vote. (text: CR H1541),,,,,https://api.congress.gov/v3/amendment/106/hamdt/620?format=json
s000094,106,1999-11-16,2000-02-01,Referred to the Subcommittee on International Economic Policy and Trade.,3406,,To require the President to report annually to the Congress on the effects of the imposition of unilateral economic sanctions by the United States.,HR,https://api.congress.gov/v3/bill/106/hr/3406?format=json
s000094,106,1999-08-05,1999-09-10,Referred to the Subcommittee on Energy and Power.,2786,,Interstate Transmission Act,HR,https://api.congress.gov/v3/bill/106/hr/2786?format=json
s000094,106,1999-01-19,1999-01-29,Referred to the Subcommittee on Health and Environment.,17,,"Expressing the sense of the Congress that the United States should develop, promote, and implement voluntary policies to slow the population growth of the Nation.",HCONRES,https://api.congress.gov/v3/bill/106/hconres/17?format=json
s000094,100,1988-06-09,1988-07-05,"Referred to Subcommittee on Elementary, Secondary and Vocational Education.",4780,,"A bill to amend the Child Nutrition Act of 1966 to ensure homeless women, infants, and children access to the special supplemental food program.",HR,https://api.congress.gov/v3/bill/100/hr/4780?format=json
s000094,100,1987-06-23,1988-11-05,Became Public Law No: 100-609.,2756,,A bill to amend the Middle Atlantic Interstate Forest Fire Protection Compact to include the State of Ohio.,HR,https://api.congress.gov/v3/bill/100/hr/2756?format=json
s000094,100,1987-06-17,1987-10-15,Unfavorable Executive Comment Received From DOD.,2709,,"A bill to delay until October 1, 1988, implementation of a Department of Defense proposal under which, in determining the suitability of individuals for enlistment in the Armed Forces, individuals with college credit or a traditional locally issued high school diploma would be considered more favorably than individuals with high school diplomas from alternative means.",HR,https://api.congress.gov/v3/bill/100/hr/2709?format=json
s000094,100,1987-04-21,1987-05-08,Referred to Subcommittee on Human Resources.,2105,,State Dependent Care Grants Amendments Act of 1987,HR,https://api.congress.gov/v3/bill/100/hr/2105?format=json
s000094,100,1987-04-06,1988-04-22,See H.R.5.,1958,,Education for Economic Security Amendments of 1987,HR,https://api.congress.gov/v3/bill/100/hr/1958?format=json
s000094,100,1987-07-29,1987-08-03,Referred to Subcommittee on Census and Population.,345,,"A joint resolution designating the period from August 1 through 2, 1987, as ""National Twins Days"".",HJRES,https://api.congress.gov/v3/bill/100/hjres/345?format=json
