bioguideId,congress,type,number,introducedDate,actionDate,PolicyArea_name,Latest_Action_text,url,congress_type_number,title
h000547,100,HRES,205,1987-06-18,1987-06-22,Immigration,"Referred to Subcommittee on Immigration, Refugees, and International Law.",https://api.congress.gov/v3/bill/100/hres/205?format=json,100_HRES_205,"A resolution providing that the Secretary of State should recommend the continued extension of voluntary departure status for nationals of Poland in the United States, and the Attorney General should continue such extension."
h000547,101,HR,4989,1990-06-07,1990-06-15,"Arts, Culture, Religion",Referred to the Subcommittee on Consumer Affairs and Coinage.,https://api.congress.gov/v3/bill/101/hr/4989?format=json,101_HR_4989,"To award a congressional gold medal to Jane Henson, the widow of Jim Henson."
h001028,109,S,2612,2006-04-07,2006-04-24,Immigration,Read the second time and ordered referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/109/s/2612?format=json,109_S_2612,Comprehensive Immigration Reform Act of 2006
h001028,109,S,1918,2005-10-25,2005-10-25,Immigration,Read twice and referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/109/s/1918?format=json,109_S_1918,Strengthening America's Workforce Act of 2005
h001028,109,S,1916,2005-10-25,2005-10-25,Immigration,Read twice and referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/109/s/1916?format=json,109_S_1916,Strengthening America's Security Act of 2005
h001028,109,S,1917,2005-10-25,2005-10-25,Immigration,Read twice and referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/109/s/1917?format=json,109_S_1917,Employment Verification Act of 2005
h001028,109,S,1919,2005-10-25,2005-10-25,Immigration,Read twice and referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/109/s/1919?format=json,109_S_1919,Immigrant Accountability Act of 2005
h001028,110,S,1225,2007-04-26,2007-04-26,Immigration,Read twice and referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/110/s/1225?format=json,110_S_1225,Immigrant Accountability Act of 2007
h001028,110,S,1092,2007-04-11,2007-04-11,Immigration,Read twice and referred to the Committee on the Judiciary.,https://api.congress.gov/v3/bill/110/s/1092?format=json,110_S_1092,High-Tech Worker Relief Act of 2007
h001028,108,S,2010,2004-01-21,2004-01-21,Immigration,Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S109-117),https://api.congress.gov/v3/bill/108/s/2010?format=json,108_S_2010,Immigration Reform Act of 2004
h001028,107,S,778,2001-04-26,2001-09-06,Immigration,See also H.R. 1885.,https://api.congress.gov/v3/bill/107/s/778?format=json,107_S_778,Section 245(i) Extension Act of 2001
h001028,106,S,1966,1999-11-18,1999-11-18,Immigration,Read twice and referred to the Committee on Judiciary.,https://api.congress.gov/v3/bill/106/s/1966?format=json,106_S_1966,"A bill to provide for the immediate review by the Immigration and Naturalization Service of new employees hired by employers subject to Operation Vanguard or similar programs, and for other purposes."
m001156,109,HR,5484,2006-05-25,2006-06-06,Immigration,"Referred to the Subcommittee on Economic Security, Infrastructure Protection, and Cybersecurity.",https://api.congress.gov/v3/bill/109/hr/5484?format=json,109_HR_5484,Good Fences Make Good Neighbors Act of 2006
m001156,109,HR,4412,2005-11-18,2006-03-29,Immigration,Sponsor introductory remarks on measure. (CR H1294),https://api.congress.gov/v3/bill/109/hr/4412?format=json,109_HR_4412,Comprehensive Immigration Data And Technology Accountability Act of 2005
m000317,118,HR,7232,2024-02-05,2024-02-05,Immigration,Referred to the House Committee on the Judiciary.,https://api.congress.gov/v3/bill/118/hr/7232?format=json,118_HR_7232,No Visas for Anti-Semitic Students Act
m000317,118,HR,5498,2023-09-14,2023-09-14,Immigration,Referred to the House Committee on Armed Services.,https://api.congress.gov/v3/bill/118/hr/5498?format=json,118_HR_5498,To prohibit the use of Federal funds to provide to certain aliens covered shelter or housing on military installations located in the United States.
m000317,118,HR,5283,2023-08-25,2023-12-04,Immigration,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,https://api.congress.gov/v3/bill/118/hr/5283?format=json,118_HR_5283,Protecting our Communities from Failure to Secure the Border Act of 2023
m000317,118,HR,2844,2023-04-25,2023-04-25,Immigration,Referred to the House Committee on the Judiciary.,https://api.congress.gov/v3/bill/118/hr/2844?format=json,118_HR_2844,Transparency of Migration Act
m000317,117,HR,6122,2021-12-02,2022-11-01,Immigration,Referred to the Subcommittee on Immigration and Citizenship.,https://api.congress.gov/v3/bill/117/hr/6122?format=json,117_HR_6122,Protect American Taxpayer Dollars from Illegal Immigration Act
m000317,117,HR,4096,2021-06-23,2022-11-01,Immigration,Referred to the Subcommittee on Immigration and Citizenship.,https://api.congress.gov/v3/bill/117/hr/4096?format=json,117_HR_4096,Transparency of Migration Act
m000317,117,HR,1839,2021-03-11,2021-05-18,"Arts, Culture, Religion",Referred to the Subcommittee on Immigration and Citizenship.,https://api.congress.gov/v3/bill/117/hr/1839?format=json,117_HR_1839,National Lighthouse Museum Act
e000273,93,HR,9001,1973-06-27,1973-06-27,"Arts, Culture, Religion",Referred to House Committee on House Administration.,https://api.congress.gov/v3/bill/93/hr/9001?format=json,93_HR_9001,American Folklife Preservation Act
m000194,118,HR,7909,2024-04-09,2024-05-22,Immigration,Ordered to be Reported (Amended) by the Yeas and Nays: 19 - 6.,https://api.congress.gov/v3/bill/118/hr/7909?format=json,118_HR_7909,Violence Against Women by Illegal Aliens Act
m000194,118,HR,3516,2023-05-18,2023-05-18,Immigration,Referred to the House Committee on the Judiciary.,https://api.congress.gov/v3/bill/118/hr/3516?format=json,118_HR_3516,FAWA
m000194,117,HR,6275,2021-12-14,2022-11-01,Immigration,Referred to the Subcommittee on Immigration and Citizenship.,https://api.congress.gov/v3/bill/117/hr/6275?format=json,117_HR_6275,"To prohibit the use of Federal funds to administer a COVID-19 vaccine to officers and employees of the U.S. Border Patrol, U.S. Immigration and Customs Enforcement, or certain Department of the Interior officers and employees or require that such officers and employees receive such a vaccine as a condition of employment."
c000512,94,HR,9360,1975-09-04,1975-09-04,Immigration,Referred to House Committee on the Judiciary.,https://api.congress.gov/v3/bill/94/hr/9360?format=json,94_HR_9360,A bill to amend the Immigration and Nationality Act to permit adoption of more than two children.
g000582,118,HR,5302,2023-08-29,2024-06-07,Immigration,"Placed on the Union Calendar, Calendar No. 450.",https://api.congress.gov/v3/bill/118/hr/5302?format=json,118_HR_5302,Michel O. Maceda Memorial Act
g000582,117,HR,8056,2022-06-14,2022-06-15,Immigration,"Referred to the Subcommittee on Border Security, Facilitation, and Operations.",https://api.congress.gov/v3/bill/117/hr/8056?format=json,117_HR_8056,Maritime Border Security Technology Improvement Act
g000582,116,HR,2173,2019-04-09,2019-05-15,Immigration,Referred to the Subcommittee on Immigration and Citizenship.,https://api.congress.gov/v3/bill/116/hr/2173?format=json,116_HR_2173,To amend the Immigration and Nationality Act to reserve EB-5 visas each fiscal year for investors in new commercial enterprises in areas with respect to which a major disaster has been declared by the President.
l000580,115,HR,837,2017-02-02,2017-03-02,Immigration,Referred to the Subcommittee on Immigration and Border Security.,https://api.congress.gov/v3/bill/115/hr/837?format=json,115_HR_837,Build Bridges Not Walls Act
b000556,102,HJRES,465,1992-04-08,1992-04-14,"Arts, Culture, Religion",Referred to the Subcommittee on Census and Population.,https://api.congress.gov/v3/bill/102/hjres/465?format=json,102_HJRES_465,"Designating January 16, 1993, as ""Religious Freedom Day""."
b000556,102,HJRES,457,1992-03-31,1992-10-23,"Arts, Culture, Religion",Became Public Law No: 102-464.,https://api.congress.gov/v3/bill/102/hjres/457?format=json,102_HJRES_457,"Designating January 16, 1993, as ""Religious Freedom Day""."
b000556,102,HJRES,381,1991-11-22,1991-11-26,"Arts, Culture, Religion",Referred to the Subcommittee on Census and Population.,https://api.congress.gov/v3/bill/102/hjres/381?format=json,102_HJRES_381,"Designating January 16, 1992, as ""Religious Freedom Day""."
b000556,103,HJRES,216,1993-06-16,1993-11-23,"Arts, Culture, Religion",Read twice and referred to the Committee on Judiciary.,https://api.congress.gov/v3/bill/103/hjres/216?format=json,103_HJRES_216,"Designating January 16, 1994, as ""Religious Freedom Day""."
s001044,107,HR,190,2001-01-03,2001-02-12,Immigration,Referred to the Subcommittee on Immigration and Claims.,https://api.congress.gov/v3/bill/107/hr/190?format=json,107_HR_190,To clarify the effect on the citizenship of an individual of the individual's birth in the United States.
s001044,106,HR,319,1999-01-06,1999-02-25,Immigration,Referred to the Subcommittee on Immigration and Claims.,https://api.congress.gov/v3/bill/106/hr/319?format=json,106_HR_319,To clarify the effect on the citizenship of an individual of the individual's birth in the United States.
s001044,106,HR,41,1999-01-06,1999-02-25,Immigration,Referred to the Subcommittee on Immigration and Claims.,https://api.congress.gov/v3/bill/106/hr/41?format=json,106_HR_41,Mass Immigration Reduction Act
s001044,103,HR,5157,1994-10-03,1994-10-07,Immigration,"Referred to the Subcommittee on International Law, Immigration, and Refugees.",https://api.congress.gov/v3/bill/103/hr/5157?format=json,103_HR_5157,Emergency Immigration Parole Correction Act of 1994
s001044,103,HR,3862,1994-02-10,1994-03-02,Immigration,Referred to the Subcommittee on Housing and Community Development.,https://api.congress.gov/v3/bill/103/hr/3862?format=json,103_HR_3862,Immigration Moratorium Act of 1994
s001044,104,HR,1597,1995-05-09,1995-07-18,Immigration,Referred to the Subcommittee on Immigration and Claims.,https://api.congress.gov/v3/bill/104/hr/1597?format=json,104_HR_1597,Emergency Immigration Parole Correction Act of 1995
s001044,104,HR,375,1995-01-04,1995-03-24,Immigration,See H.R.4.,https://api.congress.gov/v3/bill/104/hr/375?format=json,104_HR_375,Immigration Accountability Act of 1995
s001044,104,HR,373,1995-01-04,1995-01-25,Immigration,Referred to the Subcommittee on Immigration and Claims.,https://api.congress.gov/v3/bill/104/hr/373?format=json,104_HR_373,Immigration Moratorium Act of 1995
s001044,104,HR,372,1995-01-04,1995-01-25,Immigration,Referred to the Subcommittee on Immigration and Claims.,https://api.congress.gov/v3/bill/104/hr/372?format=json,104_HR_372,Immigrant Financial Responsibility and Sponsorship Act of 1995
s001044,105,HR,346,1997-01-07,1997-01-28,Immigration,Referred to the Subcommittee on Immigration and Claims.,https://api.congress.gov/v3/bill/105/hr/346?format=json,105_HR_346,To clarify the effect on the citizenship of an individual of the individual's birth in the United States.
s001044,105,HR,347,1997-01-07,1997-01-28,Immigration,Referred to the Subcommittee on Immigration and Claims.,https://api.congress.gov/v3/bill/105/hr/347?format=json,105_HR_347,Immigration Moratorium Act of 1997
c001051,118,HR,3632,2023-05-24,2023-05-24,Immigration,Referred to the House Committee on Armed Services.,https://api.congress.gov/v3/bill/118/hr/3632?format=json,118_HR_3632,READI Act
c001051,118,HR,3217,2023-05-11,2023-05-11,Immigration,Referred to the House Committee on the Judiciary.,https://api.congress.gov/v3/bill/118/hr/3217?format=json,118_HR_3217,USA Act of 2023
c001051,118,HR,2417,2023-03-30,2023-03-30,Immigration,Referred to the House Committee on the Judiciary.,https://api.congress.gov/v3/bill/118/hr/2417?format=json,118_HR_2417,Protection of Children Act of 2023
c001051,117,HR,7452,2022-04-07,2022-11-01,Immigration,Referred to the Subcommittee on Immigration and Citizenship.,https://api.congress.gov/v3/bill/117/hr/7452?format=json,117_HR_7452,Updated Standards for Asylum (USA) Act of 2022
c001051,117,HR,1958,2021-03-17,2021-03-17,Immigration,Referred to the House Committee on Foreign Affairs.,https://api.congress.gov/v3/bill/117/hr/1958?format=json,117_HR_1958,Protection of Children Act of 2021
c001051,116,HR,3940,2019-07-24,2019-08-15,Immigration,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",https://api.congress.gov/v3/bill/116/hr/3940?format=json,116_HR_3940,Protection of Children Act of 2019
c001051,110,HR,3851,2007-10-16,2008-01-31,Immigration,"Referred to the Subcommittee on Border, Maritime, and Global Counterterrorism.",https://api.congress.gov/v3/bill/110/hr/3851?format=json,110_HR_3851,Non-Citizen Enforcement Act of 2007
h000707,104,HR,4165,1996-09-25,1996-10-04,Immigration,Referred to the Subcommittee on Immigration and Claims.,https://api.congress.gov/v3/bill/104/hr/4165?format=json,104_HR_4165,To provide for certain changes with respect to requirements for a Canadian boater landing permit pursuant to section 235 of the Immigration and Nationality Act.
