bioguideid,congress,introducedDate,actionDate,actionText,billnumber,policyArea,title,billtype,url
J000288,113,2013-05-09,2013-05-10,"Referred to the Subcommittee on Commerce, Manufacturing, and Trade.",1913,"Science, Technology, Communications",APPS Act of 2013,HR,https://api.congress.gov/v3/bill/113/hr/1913?format=json
J000288,113,2013-03-06,2014-04-01,"Placed on the Union Calendar, Calendar No. 288.",981,Public Lands and Natural Resources,RARE Act of 2013,HR,https://api.congress.gov/v3/bill/113/hr/981?format=json
J000288,112,2011-12-01,2011-12-02,Referred to the Subcommittee on Highways and Transit.,3536,Transportation and Public Works,Safe Roads for America Act of 2011,HR,https://api.congress.gov/v3/bill/112/hr/3536?format=json
J000288,112,2011-04-01,2011-06-03,Subcommittee Hearings Held.,1314,Public Lands and Natural Resources,Resource Assessment of Rare Earths Act of 2011,HR,https://api.congress.gov/v3/bill/112/hr/1314?format=json
J000288,115,2018-07-26,2018-07-27,Referred to the Subcommittee on Digital Commerce and Consumer Protection.,6547,"Science, Technology, Communications",APPS Act of 2018,HR,https://api.congress.gov/v3/bill/115/hr/6547?format=json
J000288,115,2018-06-05,2018-06-06,Referred to the Subcommittee on Aviation.,6005,Transportation and Public Works,Minorities in Aviation Education Act of 2018,HR,https://api.congress.gov/v3/bill/115/hr/6005?format=json
J000288,115,2017-03-28,2017-04-12,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.",1746,Transportation and Public Works,Airport Security Act of 2017,HR,https://api.congress.gov/v3/bill/115/hr/1746?format=json
J000288,115,2017-03-09,2017-03-22,Referred to the Subcommittee on Counterterrorism and Intelligence.,1453,Emergency Management,Reaffirming DHS Commitment to Countering All Forms of Extremism,HR,https://api.congress.gov/v3/bill/115/hr/1453?format=json
J000288,114,2016-03-22,2016-03-25,Referred to the Subcommittee on Environment and the Economy.,4827,Environmental Protection,Coal Ash Landfill Safety Act,HR,https://api.congress.gov/v3/bill/114/hr/4827?format=json
J000288,114,2016-02-10,2016-02-12,"Referred to the Subcommittee on Commerce, Manufacturing, and Trade.",4517,"Science, Technology, Communications",APPS Act of 2016,HR,https://api.congress.gov/v3/bill/114/hr/4517?format=json
J000288,114,2015-06-15,2015-07-01,"Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.",2767,Transportation and Public Works,Airport Security Act of 2015,HR,https://api.congress.gov/v3/bill/114/hr/2767?format=json
J000288,114,2015-09-17,2015-09-18,"Referred to the Subcommittee on Commerce, Manufacturing, and Trade.",3536,Transportation and Public Works,Safe Roads Act of 2015,HR,https://api.congress.gov/v3/bill/114/hr/3536?format=json
J000288,111,2010-05-18,2010-07-26,"Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",5321,Transportation and Public Works,Airport Security Act of 2010,HR,https://api.congress.gov/v3/bill/111/hr/5321?format=json
J000288,111,2010-09-22,2010-12-07,Motion to reconsider laid on the table Agreed to without objection.,1642,Housing and Community Development,"Recognizing the centennial of the City of Lilburn, Georgia and supporting the goals and ideals of a City of Lilburn Day.",HRES,https://api.congress.gov/v3/bill/111/hres/1642?format=json
B001284,116,2020-06-25,2020-06-25,Referred to the House Committee on Natural Resources.,7334,Public Lands and Natural Resources,Broadband Deployment Streamlining Act,HR,https://api.congress.gov/v3/bill/116/hr/7334?format=json
B001284,113,2014-03-14,2014-07-09,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,4263,Emergency Management,Social Media Working Group Act of 2014,HR,https://api.congress.gov/v3/bill/113/hr/4263?format=json
B001284,115,2018-05-08,2018-05-11,Referred to the Subcommittee on Communications and Technology.,5700,"Science, Technology, Communications",National Non-Emergency Mobile Number Act,HR,https://api.congress.gov/v3/bill/115/hr/5700?format=json
B001284,115,2018-01-19,2018-02-08,Referred to the Subcommittee on Conservation and Forestry.,4847,Public Lands and Natural Resources,Broadband Deployment Streamlining Act,HR,https://api.congress.gov/v3/bill/115/hr/4847?format=json
B001284,115,2017-09-14,2017-09-15,Referred to the Subcommittee on Communications and Technology.,521,"Science, Technology, Communications",Expressing the sense of the House of Representatives about a strategy to deploy fifth generation mobile networks (5G networks) and next-generation wireless and wired technologies to promote economic development and digital innovation throughout the United States.,HRES,https://api.congress.gov/v3/bill/115/hres/521?format=json
B001284,115,2017-03-27,2018-12-21,Became Public Law No: 115-345.,1733,Energy,An act to direct the Secretary of Energy to review and update a report on the energy and environmental benefits of the re-refining of used lubricating oil,HR,https://api.congress.gov/v3/bill/115/hr/1733?format=json
B001284,114,2016-04-15,2016-04-22,Referred to the Subcommittee on Energy and Power.,4958,Energy,To direct the Secretary of Energy to review and update a report on the energy and environmental benefits of the re-refining of used lubricating oil.,HR,https://api.congress.gov/v3/bill/114/hr/4958?format=json
B001284,114,2015-01-30,2015-11-05,Became Public Law No: 114-80.,623,Emergency Management,DHS Social Media Improvement Act of 2015,HR,https://api.congress.gov/v3/bill/114/hr/623?format=json
K000389,118,2024-05-23,2024-05-23,Referred to the House Committee on Agriculture.,8538,"Science, Technology, Communications",Biotechnology Oversight Coordination Act of 2024,HR,https://api.congress.gov/v3/bill/118/hr/8538?format=json
K000389,118,2023-07-25,2023-07-25,Referred to the House Committee on Agriculture.,4873,Agriculture and Food,Food Supply Chain Capacity and Resiliency Act,HR,https://api.congress.gov/v3/bill/118/hr/4873?format=json
K000389,118,2023-02-02,2023-03-06,"Referred to the Subcommittee on Livestock, Dairy, and Poultry.",797,Agriculture and Food,Farm System Reform Act of 2023,HR,https://api.congress.gov/v3/bill/118/hr/797?format=json
K000389,117,2022-07-19,2022-07-19,Referred to the House Committee on Agriculture.,1234,Agriculture and Food,"Expressing support for regenerative agriculture and other conservation practices to support more sustainable and resilient agriculture, and compensating farmers for providing environmental services.",HRES,https://api.congress.gov/v3/bill/117/hres/1234?format=json
K000389,117,2022-05-13,2022-06-08,"Referred to the Subcommittee on Biotechnology, Horticulture, and Research.",7763,Agriculture and Food,"To direct the Secretary of Agriculture to support and incentivize domestic activities to address fertilizer shortages and deficiencies, diversify fertilizer sources, and reduce dependency on foreign sources for fertilizer, and for other purposes.",HR,https://api.congress.gov/v3/bill/117/hr/7763?format=json
K000389,117,2021-07-16,2021-07-19,Referred to the Subcommittee on Environment and Climate Change.,4461,"Science, Technology, Communications",21st Century Jobs Act,HR,https://api.congress.gov/v3/bill/117/hr/4461?format=json
K000389,117,2021-07-13,2021-08-11,Referred to the Subcommittee on Livestock and Foreign Agriculture.,4421,Agriculture and Food,Farm System Reform Act of 2021,HR,https://api.congress.gov/v3/bill/117/hr/4421?format=json
K000389,117,2021-05-28,2022-04-06,Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 343.,3599,"Science, Technology, Communications",Federal Rotational Cyber Workforce Program Act of 2021,HR,https://api.congress.gov/v3/bill/117/hr/3599?format=json
K000389,117,2021-04-21,2021-04-22,Referred to the Subcommittee on Consumer Protection and Commerce.,2731,"Science, Technology, Communications",Endless Frontier Act,HR,https://api.congress.gov/v3/bill/117/hr/2731?format=json
K000389,116,2020-10-27,2020-10-28,Referred to the Subcommittee on Aviation.,8693,"Science, Technology, Communications",21st Century Jobs Act,HR,https://api.congress.gov/v3/bill/116/hr/8693?format=json
K000389,116,2020-05-22,2020-05-22,"Referred to the House Committee on Science, Space, and Technology.",6978,"Science, Technology, Communications",Endless Frontier Act,HR,https://api.congress.gov/v3/bill/116/hr/6978?format=json
K000389,116,2020-05-05,2020-08-13,Referred to the Subcommittee on Livestock and Foreign Agriculture.,6718,Agriculture and Food,Farm System Reform Act of 2020,HR,https://api.congress.gov/v3/bill/116/hr/6718?format=json
K000389,116,2019-07-18,2019-07-19,Referred to the Subcommittee on Water Resources and Environment.,3844,Environmental Protection,Farmer Fairness Act,HR,https://api.congress.gov/v3/bill/116/hr/3844?format=json
K000389,116,2019-07-10,2019-07-11,Referred to the Subcommittee on Communications and Technology.,3676,"Science, Technology, Communications",Measuring the Economic Impact of Broadband Act of 2019,HR,https://api.congress.gov/v3/bill/116/hr/3676?format=json
K000389,116,2019-05-08,2019-09-26,Forwarded by Subcommittee to Full Committee by Voice Vote .,2591,Environmental Protection,PFAS Waste Incineration Ban Act of 2019,HR,https://api.congress.gov/v3/bill/116/hr/2591?format=json
K000389,115,2018-02-26,2018-03-02,Referred to the Subcommittee on Communications and Technology.,5093,"Science, Technology, Communications",Measuring the Economic Impact of Broadband Act of 2018,HR,https://api.congress.gov/v3/bill/115/hr/5093?format=json
C001106,115,2018-01-17,2018-01-19,Referred to the Subcommittee on Communications and Technology.,4813,"Science, Technology, Communications",WIFI STUDy Act,HR,https://api.congress.gov/v3/bill/115/hr/4813?format=json
C001106,115,2017-07-26,2017-07-28,Referred to the Subcommittee on Digital Commerce and Consumer Protection.,3411,Transportation and Public Works,"To establish in the National Highway Traffic Safety Administration an Automated Driving System Cybersecurity Advisory Council to make recommendations regarding cybersecurity for the testing, deployment, and updating of automated driving systems.",HR,https://api.congress.gov/v3/bill/115/hr/3411?format=json
T000162,109,2006-12-05,2006-12-05,Read twice and referred to the Committee on Energy and Natural Resources.,4076,Energy,A bill to amend the Energy Policy Act of 2005 to provide an alternate sulfur dioxide removal measurement for certain coal gasification project goals.,S,https://api.congress.gov/v3/bill/109/s/4076?format=json
T000162,109,2006-05-05,2006-07-27,Sponsor introductory remarks on measure. (CR S8353),2755,Energy,Energy PRICE Act,S,https://api.congress.gov/v3/bill/109/s/2755?format=json
T000162,109,2006-04-07,2006-04-24,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 413.,2603,Public Lands and Natural Resources,Soda Ash Royalty Reduction Act of 2006,S,https://api.congress.gov/v3/bill/109/s/2603?format=json
T000162,109,2006-03-13,2006-12-08,Held at the desk.,2403,Public Lands and Natural Resources,Grand Teton National Park Extension Act of 2006,S,https://api.congress.gov/v3/bill/109/s/2403?format=json
T000162,109,2006-03-06,2006-12-08,Held at the desk.,2373,Public Lands and Natural Resources,City of Green River Land Conveyance Act,S,https://api.congress.gov/v3/bill/109/s/2373?format=json
T000162,109,2005-09-14,2005-09-27,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 109-256.,1701,Public Lands and Natural Resources,Abandoned Mine Land Reclamation Reform Act of 2005,S,https://api.congress.gov/v3/bill/109/s/1701?format=json
T000162,109,2005-04-15,2005-04-15,Read twice and referred to the Committee on Energy and Natural Resources.,814,Public Lands and Natural Resources,Coal Leasing Amendments Act of 2005,S,https://api.congress.gov/v3/bill/109/s/814?format=json
T000162,109,2005-03-10,2006-05-05,Became Public Law No: 109-219.,592,Water Resources Development,Glendo Unit of the Missouri River Basin Project Contract Extension Act of 2005,S,https://api.congress.gov/v3/bill/109/s/592?format=json
T000162,109,2005-03-10,2005-03-10,Read twice and referred to the Committee on Energy and Natural Resources.,591,Public Lands and Natural Resources,No Net Loss of Private Land Act,S,https://api.congress.gov/v3/bill/109/s/591?format=json
T000162,109,2005-03-10,2005-03-10,Read twice and referred to the Committee on Energy and Natural Resources. (text of measure as introduced: CR S2491-2494),596,Energy,Electric Transmission and Reliability Enhancement Act of 2005,S,https://api.congress.gov/v3/bill/109/s/596?format=json
T000162,109,2005-02-01,2005-08-02,Referred to the Subcommittee on National Parks.,243,Public Lands and Natural Resources,National Heritage Areas Partnership Act,S,https://api.congress.gov/v3/bill/109/s/243?format=json
T000162,109,2005-02-01,2006-10-05,Became Public Law No: 109-298.,244,Energy,A bill to extend the deadline for commencement of construction of a hydroelectric project in the State of Wyoming.,S,https://api.congress.gov/v3/bill/109/s/244?format=json
T000162,109,2005-01-31,2006-10-12,Became Public Law No: 109-338.,203,Public Lands and Natural Resources,National Heritage Areas Act of 2006,S,https://api.congress.gov/v3/bill/109/s/203?format=json
T000162,110,2007-05-21,2007-05-21,Read twice and referred to the Committee on Energy and Natural Resources.,1443,Energy,"Clean, Affordable, and Domestic Fuels for Energy Security Act of 2007",S,https://api.congress.gov/v3/bill/110/s/1443?format=json
T000162,110,2007-05-03,2008-06-16,Placed on Senate Legislative Calendar under General Orders. Calendar No. 789.,1281,Public Lands and Natural Resources,Craig Thomas Snake Headwaters Legacy Act of 2008,S,https://api.congress.gov/v3/bill/110/s/1281?format=json
T000162,110,2007-02-16,2007-02-16,Read twice and referred to the Committee on Environment and Public Works.,658,Public Lands and Natural Resources,Endangered Species Reform Act of 2007,S,https://api.congress.gov/v3/bill/110/s/658?format=json
T000162,110,2007-02-15,2007-09-17,Placed on Senate Legislative Calendar under General Orders. Calendar No. 356.,645,Energy,A bill to amend the Energy Policy Act of 2005 to provide an alternate sulfur dioxide removal measurement for certain coal gasification project goals.,S,https://api.congress.gov/v3/bill/110/s/645?format=json
T000162,110,2007-01-26,2007-01-26,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry. (text of measure as introduced: CR S1239)",404,Agriculture and Food,Country of Origin Labeling Act of 2007,S,https://api.congress.gov/v3/bill/110/s/404?format=json
T000162,110,2007-01-12,2007-09-17,Placed on Senate Legislative Calendar under General Orders. Calendar No. 366.,278,Public Lands and Natural Resources,National Heritage Areas Partnership Act,S,https://api.congress.gov/v3/bill/110/s/278?format=json
T000162,110,2007-01-12,2007-07-13,Became Public Law No: 110-47.,277,Public Lands and Natural Resources,Grand Teton National Park Extension Act of 2007,S,https://api.congress.gov/v3/bill/110/s/277?format=json
T000162,108,2004-06-17,2004-09-20,"Referred to the Subcommittee on National Parks, Recreation and Public Lands.",2543,Public Lands and Natural Resources,National Heritage Partnership Act,S,https://api.congress.gov/v3/bill/108/s/2543?format=json
T000162,108,2004-04-08,2004-07-14,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 108-702.,2317,Public Lands and Natural Resources,A bill to limit the royalty on soda ash.,S,https://api.congress.gov/v3/bill/108/s/2317?format=json
T000162,108,2004-02-12,2004-03-11,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 108-533.,2086,Public Lands and Natural Resources,Abandoned Mine Land Reclamation Reform Act of 2004,S,https://api.congress.gov/v3/bill/108/s/2086?format=json
T000162,108,2003-09-03,2004-06-07,Referred to the Subcommittee on Energy and Air Quality.,1577,Energy,A bill to extend the deadline for commencement of construction of a hydroelectric project in the State of Wyoming.,S,https://api.congress.gov/v3/bill/108/s/1577?format=json
T000162,108,2003-05-22,2004-06-01,"Referred to the Subcommittee on National Parks, Recreation and Public Lands.",1107,Public Lands and Natural Resources,Recreational Fee Authority Act of 2004,S,https://api.congress.gov/v3/bill/108/s/1107?format=json
T000162,108,2003-05-09,2003-05-09,Read twice and referred to the Committee on Energy and Natural Resources. (text of measure as introduced: CR S6002),1038,Public Lands and Natural Resources,No Net Loss of Private Land Act,S,https://api.congress.gov/v3/bill/108/s/1038?format=json
T000162,108,2003-02-27,2003-03-27,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 108-57.,475,Energy,Electric Transmission and Reliability Enhancement Act of 2003,S,https://api.congress.gov/v3/bill/108/s/475?format=json
T000162,108,2003-02-12,2003-02-12,Read twice and referred to the Committee on Environment and Public Works. (text of measure as introduced: CR S2358),372,Environmental Protection,State and Local Government Participation Act of 2003,S,https://api.congress.gov/v3/bill/108/s/372?format=json
T000162,108,2003-02-12,2003-02-12,Read twice and referred to the Committee on Environment and Public Works.,369,Public Lands and Natural Resources,Endangered Species Listing and Delisting Process Reform Act of 2003,S,https://api.congress.gov/v3/bill/108/s/369?format=json
T000162,108,2003-02-04,2003-06-17,Became Public Law No: 108-32.,273,Public Lands and Natural Resources,Grand Teton National Park Land Exchange Act,S,https://api.congress.gov/v3/bill/108/s/273?format=json
T000162,107,2002-05-08,2002-06-19,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 107-825.,2473,Public Lands and Natural Resources,Recreational Fee Authority Act of 2002,S,https://api.congress.gov/v3/bill/107/s/2473?format=json
T000162,107,2001-12-19,2002-09-23,Referred to the Subcommittee on Energy and Air Quality.,1852,Energy,A bill to extend the deadline for commencement of construction of a hydroelectric project in the State of Wyoming.,S,https://api.congress.gov/v3/bill/107/s/1852?format=json
T000162,107,2001-12-12,2001-12-12,Read twice and referred to the Committee on Energy and Natural Resources. (text of measure as introduced: CR S13053),1808,Energy,Mineral Leasing Act Revision of 2001,S,https://api.congress.gov/v3/bill/107/s/1808?format=json
T000162,107,2001-06-26,2002-11-22,Message on Senate action sent to the House.,1105,Public Lands and Natural Resources,Grand Teton National Park Land Exchange Act,S,https://api.congress.gov/v3/bill/107/s/1105?format=json
T000162,107,2001-04-05,2001-04-05,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",712,Public Lands and Natural Resources,Yellowstone and Teton Scenic Overflight Exclusion Act of 2001,S,https://api.congress.gov/v3/bill/107/s/712?format=json
T000162,107,2001-02-15,2002-07-15,Sponsor introductory remarks on measure. (CR S6729-6731),365,Public Lands and Natural Resources,National Park Service Winter Access Act,S,https://api.congress.gov/v3/bill/107/s/365?format=json
T000162,107,2001-02-15,2001-02-15,Read twice and referred to the Committee on Environment and Public Works. (text of measure as introduced: CR S1478-1479),347,Public Lands and Natural Resources,Endangered Species Listing and Delisting Process Reform Act of 2001,S,https://api.congress.gov/v3/bill/107/s/347?format=json
T000162,107,2001-02-14,2001-02-14,Read twice and referred to the Committee on Energy and Natural Resources.,322,Public Lands and Natural Resources,No Net Loss of Private Land Act,S,https://api.congress.gov/v3/bill/107/s/322?format=json
T000162,107,2001-02-08,2001-02-08,Read twice and referred to the Committee on Environment and Public Works.,301,Environmental Protection,State and Local Government Participation Act of 2001,S,https://api.congress.gov/v3/bill/107/s/301?format=json
T000162,106,2000-09-14,2000-09-14,Read twice and referred to the Committee on Energy and Natural Resources.,3053,Public Lands and Natural Resources,Yellowstone and Teton Scenic Overflight Exclusion Act of 2000,S,https://api.congress.gov/v3/bill/106/s/3053?format=json
T000162,106,2000-03-28,2000-11-07,Became Public Law No: 106-463.,2300,Energy,Coal Market Competition Act of 2000,S,https://api.congress.gov/v3/bill/106/s/2300?format=json
T000162,106,1999-11-09,2000-11-09,Became Public Law No: 106-494.,1894,Public Lands and Natural Resources,"A bill to provide for the conveyance of certain land to Park County, Wyoming.",S,https://api.congress.gov/v3/bill/106/s/1894?format=json
T000162,106,1999-10-13,2000-02-24,Committee on Energy and Natural Resources Subcommittee on Forests and Public Land Management. Hearings held. With printed Hearing: S.Hrg. 106-507.,1722,Public Lands and Natural Resources,Trona Market Competition Act of 1999,S,https://api.congress.gov/v3/bill/106/s/1722?format=json
T000162,106,1999-07-15,2000-09-22,Became Public Law No: 106-272.,1374,Public Lands and Natural Resources,Jackson Multi-Agency Campus Act of 1999,S,https://api.congress.gov/v3/bill/106/s/1374?format=json
T000162,106,1999-07-12,2000-02-03,Executive Comment Requested from Interior.,1349,Public Lands and Natural Resources,National Park System New Area Study Act of 2000,S,https://api.congress.gov/v3/bill/106/s/1349?format=json
T000162,106,1999-06-30,1999-06-30,Read twice and referred to the Committee on Environment and Public Works.,1305,Public Lands and Natural Resources,Endangered Species Listing and Delisting Process Reform Act of 1999,S,https://api.congress.gov/v3/bill/106/s/1305?format=json
T000162,106,1999-04-19,1999-04-20,Referred to Subcommittee on Forests and Public Lands.,826,Public Lands and Natural Resources,No Net Loss of Private Lands Act,S,https://api.congress.gov/v3/bill/106/s/826?format=json
T000162,106,1999-03-09,1999-05-21,"Committee on Energy and Natural Resources requested executive comment from Department of Agricultural, Department of the Interior, OMB.",568,Public Lands and Natural Resources,A bill to allow the Department of the Interior and the Department of Agriculture to establish a fee system for commercial filming activities in a site or resource under their jurisdictions.,S,https://api.congress.gov/v3/bill/106/s/568?format=json
T000162,106,1999-03-03,2000-04-27,"Committee on Energy and Natural Resources. Hearings held and concluded. Hearings printed: S.Hrg. 106-254, pt.2.",516,Energy,Electric Utility Restructuring Empowerment and Competitiveness Act of 1999,S,https://api.congress.gov/v3/bill/106/s/516?format=json
T000162,106,1999-02-03,1999-02-03,Read twice and referred to the Committee on Environment and Public Works.,352,Environmental Protection,State and Local Government Participation Act of 1999,S,https://api.congress.gov/v3/bill/106/s/352?format=json
H001041,115,2018-03-13,2018-03-22,Committee on Energy and Natural Resources. Hearings held. Hearings printed: S.Hrg. 115-511.,2539,Water Resources Development,"A bill to amend the Energy and Water Development and Related Agencies Appropriations Act, 2015, to reauthorize certain projects to increase Colorado River System water.",S,https://api.congress.gov/v3/bill/115/s/2539?format=json
H001041,115,2017-06-15,2017-06-15,Read twice and referred to the Committee on Energy and Natural Resources.,1363,Public Lands and Natural Resources,Rural Broadband Deployment Streamlining Act,S,https://api.congress.gov/v3/bill/115/s/1363?format=json
H001041,115,2017-01-17,2017-08-04,Held at the desk.,174,"Science, Technology, Communications",Federal Communications Commission Consolidated Reporting Act of 2017,S,https://api.congress.gov/v3/bill/115/s/174?format=json
H001041,114,2015-01-26,2016-09-28,Message on House action received in Senate and at desk: House amendments to Senate bill.,253,"Science, Technology, Communications",Communications Act Update Act of 2016,S,https://api.congress.gov/v3/bill/114/s/253?format=json
H001041,114,2015-03-17,2015-03-17,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",760,"Science, Technology, Communications",Federal Communications Commission Collaboration Act of 2015,S,https://api.congress.gov/v3/bill/114/s/760?format=json
H001041,113,2013-07-29,2013-07-29,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",1379,"Science, Technology, Communications",Federal Communications Commission Consolidated Reporting Act of 2013,S,https://api.congress.gov/v3/bill/113/s/1379?format=json
H001041,112,2011-11-02,2011-11-02,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",1780,"Science, Technology, Communications",Federal Communications Commission Consolidated Reporting Act of 2011,S,https://api.congress.gov/v3/bill/112/s/1780?format=json
H001041,115,2017-05-04,2018-02-07,"Committee on Energy and Natural Resources Subcommittee on Public Lands, Forests, and Mining. Hearings held. With printed Hearing: S.Hrg. 115-502.",1046,Public Lands and Natural Resources,Eastern Nevada Economic Development and Land Management Improvement Act,S,https://api.congress.gov/v3/bill/115/s/1046?format=json
H001041,115,2018-06-05,2018-06-05,"Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S2998; text: CR S2994)",534,Transportation and Public Works,"A resolution supporting the goals and ideals of ""National Travel and Tourism Week"" and honoring the valuable contributions of travel and tourism to the United States.",SRES,https://api.congress.gov/v3/bill/115/sres/534?format=json
H001041,114,2016-03-03,2016-06-15,Committee on Energy and Natural Resources Senate Subcommittee on National Parks. Hearings held. With printed Hearing: S.Hrg. 114-502.,2627,Public Lands and Natural Resources,Mojave National Preserve Boundary Adjustment Act of 2016,S,https://api.congress.gov/v3/bill/114/s/2627?format=json
H001041,115,2018-08-28,2018-08-28,Read twice and referred to the Committee on Energy and Natural Resources.,3397,Public Lands and Natural Resources,Douglas County Economic Development and Conservation Act,S,https://api.congress.gov/v3/bill/115/s/3397?format=json
H001041,115,2018-10-11,2018-10-11,"Read twice and referred to the Committee on Commerce, Science, and Transportation.",3583,"Science, Technology, Communications","Innovations in Mentoring, Training, and Apprenticeships Act",S,https://api.congress.gov/v3/bill/115/s/3583?format=json
H001041,113,2014-07-31,2014-07-31,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",2768,Public Lands and Natural Resources,Emergency Fuel Reduction Act of 2014,S,https://api.congress.gov/v3/bill/113/s/2768?format=json
H001041,113,2014-07-08,2014-07-08,Read twice and referred to the Committee on Energy and Natural Resources.,2566,Public Lands and Natural Resources,Nevada Mining Townsite Conveyance Act,S,https://api.congress.gov/v3/bill/113/s/2566?format=json
